Comment Head	Comment Body	Comment Rating
 Gitty, Disturbing.....FANTASTIC	Eight millimeter is a gritty and disturbing look into the world of underground illegal pornography with a wonderful performance from the supporting cast including James Gandolfini(the sopranos) who play's a sleazy porn star agent, and Peter Stormare(Fargo) a twisted pornographer with the delusion of artistic genius. the film to say the least is fantastic but certainly not for the easily offended or faint hearted. starting with the discovery of a snuff film in a deceased business mans secret safe, a private investigator portrayed by Nicholas Cage(Raising Arizona)goes on a physically and emotionally draining journey to find out the authenticity of the film and who was involved in its production definitely a film that has to be seen to be truly appreciated i suggest not watching it to late at night. i give this film a definite 8.5 out of ten.Gritty, Disturbing and fantastic, definitely take a shower after watching this.	6
 Underrated and controversial, yet classic to be		8
 Disturbing		8
 Engaging the first time round ***possible spoilers***	"I saw this movie one and two halves times. I bought the VCD just to see Joaquin Phoenix as Max California. I said two halves because after the first viewing ""8MM"" is about as exciting as a Maths exam. I can't even sit through this movie for a few more times for my favourite actor (Phoenix). Having said that, ""8MM"" is one of my favourites. Firstly, it introduced me to the great talent that Phoenix is. Secondly, it made me think long and hard about the perversity in human beings. And what I thought about made me sad, but nevermind. Third, I truly enjoyed it when I saw it on HBO. I can't deny that. ""8MM"" doesn't make me feel dirty, it doesn't excite me *that* way, it *didn't* bore me...it just made me sad. Granted, Joel Schumacher doesn't seem to know where he's heading, and the ending was kind of stupid. Nicolas Cage could have been better, but then, he could have been worse. The whole movie seems terribly messed up...but hey, isn't that what the pornographic world is? Terribly messed up?**possible spoilers**Amy Morton was absolutely wonderful as the stressed out mother. She had me sympathising with her, and among so many messed up characters she is the one I remember the most. Along with Max California, who was excellently portrayed by Joaquin Phoenix, who seems to have a way of changing his voice for his roles. Like many other users have said Max was the only comic relief in the movie. It was quite tragic and stupid on the script writers' part what happened to him. Phoenix played Max's last scene with such terrifying realism, it was painful to watch. (According to Schumacher on the DVD though Phoenix *really* -became- Max. He wasn't acting there, he was truly terrified of the other actors.) That guy who played Dino was also good, in fact almost every cast member was good, except Catherine Keener who annoyed me terribly and, sadly, Nicolas Cage, who looked like he was sleepwalking through half of it. But then again like I've said before, he could have been worse. So now do I really need to reinforce my opinion that Joaquin Phoenix is the best thing since sliced bread, and he was the best thing in ""8MM""?""8MM"" is definitely a dark movie, but on the other hand its darkness makes it realistic. Because what  happens to Mary Anne is something I see happening right now. That is the sadness of it, that and the fact that normal people like you and me (like Machine) are twisted enough to want to make people suffer because ""they can""."	9
 A lovely spiral into the underworld of human desire.	I absolutely loved this movie!  It is dark and spinister and dives into the outer reaches of porn where very few people feel safe to wonder.  It is one of the best pictures that i have seen in years.  Nicolas Cage and the Pheniux boy are very good actors and bring into the movie two very interesting and diverse characters.	10
 Festering		7
 Dark and disturbing, yes, but it should also be clearly noted that 8MM avoids, for the most part, the almost always destructive influence of Hollywood.		8
 Disquieting but effective for mature audiences. *** out of ****.		7
 One Of Schumacher's Better Efforts.		7
 Brilliant film, but disturbing in some places	Incredible film, picking up the box I never thought it would be about this (I don't normally read the back of boxes as it spoils it for me). The disturbing bits were some of the pornographic scenes and the pornographic violence scenes that were shown during the movie. However it was a very enjoyable and gripping film that I throughly enjoyed. I recommend this to you as a midnight-thriller (as such), but I do warn that it is a long film so best so stock up on snacks before watching. I give 9/10 for the brilliant performance of Cage and the excellent screen play & script quality. This film also has excellent music that keeps the suspense and the moment going. As a final note, the film does contain some blood, gore and horror and some very disturbing films. This film is not suitable for young.	9
 near masterpiece	"if it wasn't for some of the TV movie style cheesiness at the end, this movie would be a dark noir masterpiece. The performances are so brilliant - this is Cage's best performance, and I'm a fan of Nic. Joaquin is fabulously real as a porno store worker. The cinematography - wow - Gordon Willis esquire. The writing - the last line of this movie is ""Save Me"". Every goosebump on your skin just went up. Cage's concern for the girl is so haunting and believable. There are parts of this movie that are 100% about Joel Schumacher about being unflinchingly honest about man's capacity to get turned on by the dark side and his struggle with that that is so non-Hollywood, non-sanitized and non-preachy. If you liked Silence of the Lambs NOT because Tony Hopkins was sooooo creepy but because it exposed honestly a dark underworld - Buffalo Bill, etc, you will be drawn to this film. Cage's empathy, acting as a conduit for Joel, I found to be deeply moving. I have a hard time understanding why people have such contempt for this movie. My guess is that they are in denial about their own dark temptations."	9
 leave it out Son!	I have no idea why this movie has been given such a low rating to date.the story line is totally unique, the performances are exceptional!the sound track was also the (one of the) first to adopt the 'arabic' thing.if you don't have a Scooby Doo (clue) what i'm talking about, then you have nothing to loose by spending an evening cuddled up on the sofa watching this GREAT movie	10
 It got to me. Dark, with minimum theatrical gestures.	"Warning: The following includes some details about the movie plot!This movie got to me. You get immersed in the dark and gloomy atmosphere in an honest way, that takes the sting out of the (arguably) ""happy"" ending. I just finished watching it, and I feel it will not go away from my mind now, for a while, like Se7en, which still haunts me from time to time (and which was dark in a similar way, not because of some graphic images).One very good scene is when Tom is pointing a gun at Eddie's head. What do you make of Eddie's behavior in that scene? Does he mean it when he says he wants Tom to end his misery (remorse?)? Is his sarcasm really the words of a frightened man with a gun to his head, or a desperate attempt to still detach himself from the murder of a young girl, which Tom had made him relive?"	10
 This underrated thriller is well made and worth a look		8
 Hitchock with an edge		10
 Goes for the throat one second, the heart strings the next		10
" ""8MM"" is unique masterpiece"		8
 Almost gets there		8
 Dark,disturbing,thrilling... and for that worth a watch!	I really liked 8mm. Didn't know much about the film in 1999, nor had i seen the trailer, nor had anyone told me about this film. That is the best way to go into a movie; nothing is present beforehand to put you off viewing the film or over hype its quality. And it paid off. This movie has good, grounded characters (Cage as a detective investigating the origin of a snuff film and Phoenix playing a sidekick type character helping him); an interesting and thrilling plot and additionally for me, an ending that i was satisfied with. And that is so important! I know Joel Schumacer has done some terrible films in the past like Batman and Robin, but this one is filmed well, paced well and is definitely worth a watch once or twice again. It's very dark, disturbing and has some great twists.My score = 8/10	8
 A beautiful statement that goes nowhere	I was struck by how poignant this film portrays itself to be. Yes, it's dark, dirty, and disturbing, but underneath all of that there is an incredible statement on our lives. We catch a glimpse of this in a few scenes, but it can never seem to break through. It feels like this film is on the verge of something really great, but ends up dwelling in the disgusting underworld of porn and snuff. This world is so horrible that the light can't find it's way through. No matter how you feel about 8mm, it will make you think and effect you in some way.It builds to a very intense climax, but continues on only to end flat on it's face. Although not a great film, 8mm may be an important one, and one that should be seen. **1/2/****	8
 Dark and Thrilling		10
 Amazingly different	8mm has once again proved, how committed an actor Nicholas Cage is, to have chosen to act in movies like this. Its so gripping and pulsating, I wonder how it got a rating less than 7 - it deserves much better. First of all its breaks a lot of Hollywood cliches and then it embarks on a totally different path, that it leaves you spell bound and asking for more.Credit should go to director Joel Schumacher, for having made a bold and well-made movie like this. Its a MUST watch for anyone who likes suspense movies with a touch of class. If you are yet to watch it, be ready come face to face with some ugly realities and hypocrisy in this society and come out with a sense of guilt. Don't miss this movie.	9
" Disturbing Images and Atmosphere, Plus Strong Acting from Nicholas Cage, Anthony Heald, and James Gandolfini, Highlight "" 8MM """		
 Disturbing and eye opening	After seeing this movie in the video store, me and my friend decided to borrow it thinking it might be interesting. By the time we'd finished watching it a whole new side of society had opened up and revealed itself to me. The story is simple- a private eye, hired by an old lady to find out the truth behind a film she found in her deceased husbands safe that shows a young girl being murdered on film- is the murder real? Who were the men who perpetrated the crime? And so begins the journey into a side of society we rarely see, let alone believe exists, a journey that is both dark and disturbing but almost true. It makes you wonder, do you know your friends as well as you'd like to. Is there something that there hiding. Do they have a side that we'd dismiss as fiction? Although this movie isn't gory or graphic(except for one scene) it still has the power to shock you with its images and themes that run through the film. The way Nicholas Cage's character changes is entirely believable. I mean wouldn't you change if you went from being a family man with a happy, one sided view to life, to a man who has been corrupted by a world he never knew existed? Overall a brilliant study of the human character and the many faces a person can have. You have been warned though this movie is very disturbing and should not be watched alone (or if you have a weak stomach) 9/10	
 Extremely Intense and Disturbing	"Really deserving of an NC-17 rating, ""8mm"" reminded me of George C. Scott's descent into sleaze (or Hell?) and depravity in ""Hardcore"". Hired by a rich widow to investigate an alleged  snuff film found in her late husband's safe, Cage embarks on a tawdry odyssey into the hellish environment of the lowest levels of the pornography and S&M industry - and the darker impulses within his own formally smug self long kept hidden. The menace and danger is palpable throughout. Cage's performance is quite good and convincing. The film itself has logical problems: five people get murdered in this plot, yet not once are the police involved or even a concern. But this is not a fatal flaw by any means. Some people will dislike the subject matter intensely, and thus rate the movie lower than they should. I found it compelling throughout; I sure wasn't bored.  Recommended!"	9
 Darker than the bat...	"8mm is an excellent film, highly underrated and dismissed by way too many people. Well acted, and despite what people have said, well directed. It's quite refreshing to see a detective in a film actually do any detecting, as opposed to the standard Hollywood convention of having our hero get a lead through a snitch or a coincidence. You genuinely feel in this film that the detcetive has earned his trade, and deservedly works his way up through a chain of people until he meets the person responsible for the snuff film. The film is dark, and our imagination is left to run riot, and this can be disturbing. The basement scene where the pornography is for sale is bad enough already without one of the signs on the stalls reading, ""Kids."" Some finely timed set peices towards the end, and a cathartic climax for our hero, this is a slow burning film that will stay in the memory for a long long time."	10
 Terrifying Good	I didn't know what to expect of this movie but I knew Nicolas Cage was playing in it so it couldn't be bad and it would be packed with action. Afterwards I needed a few minutes to catch my breath. The movie was not packed with action but it was so full of emotion. It was not the suspense of the movie that caught my attention but it was the beastly the crime that took my attention. It seemed very realistic to me, the move was no fiction to me. It could be caught out of real life. I just hope it will never happen to me or someone I love. I hope you enjoy the movie as much as I did a few minutes afterwards.	
 Under Rated dark film		9
 Watch if you dare!!	"""8MM"" might very well be Nick Cage's best role to date. Joel Schumacher's new film ""8mm"" is a dark, violent and dreary journey into the underground world of snuff films. What is a snuff film? I will get that in a min. However, this film is not for the faint of heart and surprisingly has a satisfying but strange conclusion. Thorugh the extreme violence, there is a story to be told about a world you may not know about. Snuff films are pornographic films that depict actual murder. Pretty edgy stuff right?It's about a private investigator, Tom Welles (Nick Cage) who is hired by the lawyer of a wealthy elderly lady who has found an apparent snuff film on 8MM in a safe belonging to her recently deceased husband. Tom is tasked with discovering why the film was in the safe and if the events depicted in the film are real or not. With, Max California (Joaquin Phenoix) as his guide, he descends on a dangerous journey into a seedy world to uncover the truth about the film and discover something he never knew existed.There is no question that some audiences will be appalled by this film. It's very HARD R rated as it should be but surprisingly didn't get an NC-17 for the subject matter. However, there is a real story to be told here, and the purpose of the film is to take an everyday character and plunge him into a world of evil, depravity and disturbing behavior. No doubt this world does exist but it's not tame, and the film has a foreboding and cringy worth sense to it that lets you know director Joel Schumacher is not hiding the reality of this world. Some of the material is brutal and hard to watch but the excitement of it is something you have never seen before with morality unforgotten, and Schumacher doesn't make the film an excuse for exploitation but rather a movie about consequences for stepping into the unknown.Tom Welles specializes in surveillance for high-level clients and spends his days mostly tailing after adulters'. Would you think that would get boring after a while? He is a family man and seems to enjoy what he does for a living. It opens with Tom being asked to come to the house of the elderly woman where he is informed that the task at hand will be something new for him if he chooses to accept. The 8MM film discovered in the safe is pornographic in nature and depicts a young woman apparently being murdered, and the widow wants the reassurance from Tom that she didn't really die. Welles informs her of Snuff Films - ""What your describing is a snuff film. Basically Urban Legends - makeup, special effects."" After viewing the film, Welles decides to accept and tells her ""If she was killed, her killers are not going to be easy to track down.""You get the sense that Los Angeles has a brooding side to it that seems unknown to a lot of people. At least that is the way I have always seen L.A. as and the film suggests that I am right as it is the place to be for young thrill seekers. Although, that's not still a good thing because they may get more than they bargained for. Enter Max California who works in porn retail and becomes intrigued at the idea of Welles investigating a snuff film. Through Max, Tom meets lowlife, Eddie Poole (James Gandolfini) who leads them to a vicious porn director, Dino Velvet (Peter Stormare) and the star of his films, Machine (Chris Bauer) who never takes off his mask. I was surprised at how it ended and what I saw under the Machine's mask. These three weirdos might just be the killers Welles is looking for but how far will they drive Tom to the edge?One of the more brutal scenes depicted in the film aside from the dirty and dark atmospheric setting along with the graphic images of the explicit movies being played on TV's is when Welles has a chance to get revenge on one of the killers but lacks the willpower (he's not a killer). Instead, he asks questions he needs answers for because Welles has been driven to the point where he feels like he could kill when he discovers true evil does exist in the world. The scene shows where the setting of the snuff film took place and one of the killers describes how it was done before he is viciously assaulted. We expect Wells to put himself in danger asking questions and venturing into the world of pornographers for hire, and he does, but the film also shows the sociopathic nature of someone who has no moral conscience and the audience is let to deal with that.You might think you can figure out the ending of the film, but I was actually surprised when one of the killers is revealed, and he is not what I expected. It makes you wonder what runs through the killer's mind when he says ""I do it because I like it."" To a sane person, the question is why? That person is Tom Welles. For everything the film is worth, it touches on subject matter that may be risque but in the end, provides a story into the unknown that you may or may not want to know might actually exist. It also asks the question, If you were in Tom Welles shoes, how would you deal with all of this after everything is said and done?"	9
 a really good film	i first watched this film in 1999, as i am a big fan of joaquin phoenix, and to tell the truth i expected it to be rubbish, as i had heard really bad reviews of it, but when i watched it, within the first 20mins i thought this is a really good film, even though i dont really like nic cage he gave a very good performance as the private dective hired to find out the truth of a snuff film, where a girl is killed, which takes him down a road that gets more and more dangerous, and meeting lots of different people including max california, (joaquin phoenix)who works in a sex shop and gives the best performance in the film. i would give this film 10/10 a really good film.	
 An awe inspiring work from the writer of Seven	"This was an exceptional piece of work from the man who brought us ""Seven"". I was a bit skeptical when I saw that Joel Schumacher was the director, but he didn't ruin the film.  This is an excellent film that I would recommend anyone to go see."	10
" The film asks the question you may not want to answer, ""How far would you go?"""	"This film shows the gritty side of the porno film industry. If you thought ""Boogie Nights"" showed the seamier side of the industry, this goes far beyond that. It goes to the underbelly where, I'm sure, most ""legitimate"" pornographers would not care to let you know their industry goes. However, that is not where the real story lies. The story attempts to make you ask yourself the question, ""How far would you go?"" The film gives constant contrasts to the light and dark side of our behavior, not only through the dialogue, but also the film itself goes from a very dark hue, to very bright several times, showing the dichotomy in all of our lives, or at least our thinking process. I recommend the film for those viewers who want to think about the questions it raises. Also, visually,  it did not delve as deeply into the violent nature of porno as it could have, and I applaud the director for that decision. It did more with good editing (credit the editor for that) than with actual visual exploitation. The ending was pretty much what you would expect, but it couldn't have ended otherwise and been a film based in reality. Go see it, but be prepared to do some ""self-introspection."""	7
 It is not bad!	"***SPOILERS***   ***SPOILERS*** First of all this movie is not as disturbing many people tell. If you take a look at se7en, angel heart or silence of the lambs, 8mm can't compared in ways of intensivity or how disturbing it was. There are of course some hard scenes in it, but they are personal to the viewers. The second thing I want to mention is that, the immaskation (don't know if that's a word) of maschine is just great! -Spoilers!- He is just a stupid, poor, fat boy. That is really clever I think, because it's a serious way to deal with that kind of topic insteat of wanting to scare people. Ok, what people can critisize is the way ""Cage"" asks for the right to murder maschine. If he hab murdered him just directly it would have been ok for some reason, but noone can should get the legitimation to kill another. -Spoilers end!- Overall a good movie. 7/10"	
 Contemporary film-noir at its darkest	Nicholas Cage has played disturbed, hole-in-the-souled charactersbefore, but he had really reached a whole new level of dark in 8MM. In it, he plays Tom, a PI who has had it good thanks to a loving wife and a newborn baby daughter. His happy life takes a swerve when he is hired to find out if a snuff-porn film is authentic or not. His journey takes him to a myriad of cooky characters and false ends that somewhere along the line, he lost track of reality himself. Totally bizarre and disturbing, 8MM definitely has a solid grasp on the viewer. He (or she) can't help but feel sympathetic for Tom even after he took a dive into the abyss. I wouldn't be a bit surprised if the role gave Cage himself a jolt of the senses; makes me wonder if this is the reason why he did a heart-warming tear-jerker like THE FAMILY MAN a year following 8MM!	
 Possible spoilers, so don't say I didn't warn you	I had heard bad reports about this film(bad guys were over the top, cliched as hell) but the film I saw was perfectly directed, had a brilliant role for Nicolas Cage and James(Tony Soprano)Gandolfini was superb as ever.Ignore the critics and watch this,almost,masterpiece	7
 A paradox of sorts.		
 Great!	8MM is one of the best crime dramas I've seen in a while.  The story is so engrossing that you watch it from start to finish, and it never drags for one instant.  The violence in the film is gruesome, but done so tastefully that you think you see more than you actually do.  The cinematography was excellent, in addition to the ways in which the shots were lined up.  The culture and tone displayed in the movie is truly disturbing, and will make even the sickest pervert think twice about his or her desires. Rating: 10/10	
 wow- this was one of the best movies of the year.	Basically, I think cage is a decent actor at best.  This movie, however, he plays his role to its fullest.  The setting is just dark, and the happenings in this movie are kind of scary to think about, because it has probably happened for real somewhere.	9
" ""snuff""antastic, but it's good"	"When you think back at ""8Mm"", what comes to your mind first is the depressing feeling you get during the whole movie. Joel Schumacher manages to create a special atmosphere: he uses pale colors, it's dark or rain almost all the time. Just like it's needed for a movie with a pretty original subject: snuff movies. Real or not? Tom Welles (Nicolas Cage) is hired to investigate if a snuff movie, in which a young girl is brutally murdered, is authentic or not. Cage enters into a dark universe filled up with lunatics or psychos. He gets very involved in the case, and ends up doing things he never imagined being capable of. As Joaquin says, ""You can't change the devil. The devil changes you"". Still the movie is sometimes too slow and boring (in the first part). A subject like this could've had the result a way better movie, but this one's worth to watch. You'll not forget it easily and whenever you look back at it, you'll see darkness and madness. Vote: 7 out of 10."	7
 Cage steals the show ... again!	Joel Schumacher's brilliance comes through in an epic and yet disturbing tale of Nicolas Cage's quest to find out what has happened to a star of a 'snuff' movie.Cage is superb as the investigator, but you can also not give enough praise to Phoenix, who is superb as the adult bookstore proprietor who assists him in his quest.  In fact by the end of this film you are more disturbed then you are impressed by its excellence, but it is a must see all the same.	8
 A very underrated film.		7
 be disturbed!	Well,watching 8MM makes you squirm to say the least.I might admit it's as disturbing as Se7en.It's one of those films not aimed for box-office but intensifying our terror as being humans in a shattering way.Its dark intensity smolders you and lingers in your mind long after you watch it and keeps you thinking over it on occasions in this world of 'reality TVs'.Sorry,but this is not for the faint hearted,popcorn consuming average movie-goers(or devourers should I say)Thisfilm is for those who wants to be forewarned for human inadequacies,atrocitieshappening before our very 'watchful'eyes and consciousness.No hero but all villains.Watch this and be relentlessly disturbed.Very good film...	8
 Sick, buy 5 get one free.	"I waited a few weeks before adding my comments on this film. It really affected me for days afterward. I would wake up with this film on my mind. I think its a good film but I believe it could have been brilliant. The premise is excellent: a private detective is employed to find out the truth behind a snuff movie. So much could have been achieved by this film but the team making it sold out somewhere along the line ( maybe they did it for the money? ) As it stands Nick Cage does a better job than many people realise. The comment ""sleepwalked through his role"" has been levelled at Cage a bit but I think this is intended on his part and I don't think he makes any acting mistakes. He walks away from this film spotless. Max California is cool and when he and Cage are onscreen togeather its really enjoyable. The soundtrack is interesting - slightly jarring yes but I liked it. See this movie - its worth it - even if it sucks in places - it does make you think about the root of all evil. This film has done me good - I just wish it could have gone all the way."	
 Nic Cage gives a great Performance	Tom Welles a surveillance specialist who is called in to look at a film where a girl is murdered. Now he is on the hunt to find the people that are making these films.. and all of this takes him to the darkest places... I loved this movie because it had very exciting scenes in it and you never where sure what was going to happen next. Nicolas Cage gives an amazing performance in this dark thriller. A movie worth watching.	9
 Interesting, chilling, disturbing......	Wow. Thats all I can say about this one. 8MM is a good film (though I thought it did get a little silly towards the end) about the dark world of 'snuff' movies. Nic Cage is on top form, and Joaquin Phoenix gives the film an extra boost whenever he's on screen as the cool, streetwise Max. I think he should have been in it more, cos the two of them really had good chemistry. I didn't find it *very* disturbing, which is good I guess. It gives you a little bit of insight into the dark underworld of film making. I think my fave bit in the movie, is when Tom and Max are sat watching a 'snuff' movie, and are just sat there, their eyes fixed on the screen, with their hands over their mouths, disgusted at what they see. Brilliant acting from the fab-as-always Nic and sexy-fab-soon-to-be-huge-star Joaquin.....	
 Disturbing, wierd, good.	If you are planning on seeing 8MM, I will first say, it is not a happy movie.  This movie is very dark and ominous in nature.  I'm not the kind of guy that only watches dark, somber movies - If a person is stuck to only that genre they might end up being creepy and depressed themselves.  I like variety, though.  In 8MM, Nicholas Cage plays Tom Wells, a detective who is hired by a rich elderly woman to investigate a film she found in her dead husband's safe that depicts what apears to be a pornography bit but ends with the girl being murdered.  As Mr. Wells goes deeper into his case, he gets the assistance of Max California, an employee at an adult book store who turns out to be smarter than he appears.  Tom ends up going in over his head and delves deep into the dark underworld of pornography.  This movie has an excellent soundtrack that conveys the creepy sense even further. There are a few good comic relief scenes, which in a movie like this are usually welcomed.  This film has some good twists, and is very interesting. The actors do a good job in this film, especially Nicholas Cage.  Go see 8MM if you are in the mood for an interesting thriller with some twists and a dash of comedy.	
 Be prepared for a shock, but also for brilliance.		
 Very deep and intense		8
 Fairly grimy	This is a quite chilling film with a tendency to go a little over the top at times. Nicholas Cage is characteristically ghost-like in his portrayal of a man sucked into the world of fetishistic porn. On the whole it works as an intriguing thriller but not as an education in this subspeciality of sexual deviance.	6
 A Chilling movie about the darkest human perversions.	"As i have said before , Nicolas Cage only ever makes a good film or a bad one , no imbetween. Well this is a Cracker. 8mm is a Chilling movie about a private detective who is hired to find out if a girl is really killed in a so called "" Snuff"" movie.During the investigations the PI is shown the darkest side of American Pornographyand the sleezy horrible people involved. In the process of this he starts to neglect his own family and gets so caught up in the snuff scene that he wants revenge on the people who did it.Joel Schumacher directs this film brilliantly. Its not to over the top or graphic but just enough to feel for the people in the film.My only concern is that it was maybe 20 minutes too long. 8 out of 10."	8
 Hard MM		7
 A gut wrenching peak at the world of S&M.	A provoking script from Andrew Kevin Walker, directed by Joel Schumacher. An important politician has died. Going through his belongings, the widow finds a piece of tape. The tape depicts the rape and death of a young woman at the hands of a mysterious man dressed in S&M gear. Detective Tom Wells, played by Nicolas Cage, is urged to view the film and find out if it is real and was the dead politician really involved in its making.Your imagination goes to work with what the movie maker can't show you. And then you might have trouble with some of the scenes you do get to look at. Violent and perverse, but yet only a small glimpse at the darker side of life. Not just a cheap thrill. This thing will rattle your brain.Supporting cast includes Joaquin Phoenix, Christopher Bauer, Amy Morton and Catherine Keener.	7
