Comment Head	Comment Body	Comment Rating
 B-Movie	"6.2 Stars? Must be good, right? Unfortunately, the movie is totally below average. It has bad, cliché acting and the usual ""cheap plot in a foreign country with no English-speaking actor anywhere in sight"" feel to it.We all know Jean-Claude, and we love him and keep going to his movies. I find he aged well and is up to the job, but somebody made a mistake when they suggested he star in this film. At no time do you get into the movie, you never identify with anyone, it's all stereotypical and overdone and basically a waste of your time.Glad I didn't see it in the movies, but I hope Jean-Claude doesn't go the way of Wesley Snipes and keeps doing these sad attempts at meaningful movies."	3
 Great and under rated Movie	Really enjoyed this film, I didn't know what to expect but it held my attention throughout. OK the story had lots of holes and not all the characters were as believable as they could be, but hey this is not meant to be Shakespeare. As a good action movie it delivers and JCVD is great. He is one of the few Martial arts actors who can actually act and not just fight people.In some ways the story is a bit like the Liam Neeson film Taken. The villains are suitably evil and I did find myself routing for the girl, along with the frustration of shouting at the screen when she did something silly.But if you like good action films and just want a few hours entertainment I would recommend this movie.	9
 Awesome !	This is the best Van Damme movie I've ever seen. It took him his whole career to refine his acting skills, the whole movie just ROCKS! It brings much perspective to the modern day slavery that needs so much attention by law enforcement in today's age. Human trafficking is so horrific in today's modern world and this movie will help you understand that it is real today, every where in the world. Every time I watch some sort of human trafficking movie my heart just goes out to these girls who are kidnapped and God only knows when they will ever escape, if ever. It is really a shame that men/woman can do such things to another human being and have no conscience of the lifetime scars they leave on peoples hearts & minds. Way to go Jean Claude Van Damme; who was one of the Executive Producers of this awesome movie. This is the only MOVIE I've EVER given 9 STARS!	7
" Van Damme is not timeworn... And more catchy than many young ""actionists"""	In recent years, Van Damme has shown his interest in Central Europe: Assassination Games 2011 was shot in Romania, this movie in Moldova; they are both relatively poor countries having problems with corruption and human trafficking, on which basis it is credible to create high-minded thrillers. The tensions are up high, events are more or less credible, and the very end is witty. Well done!In 6 bullets, there are 3 Van Dammes performing: Jean-Claude Van Damme himself, his son Kristopher Van Varenberg (also decently, in fact) and his daughter Bianca Bree. The other leading role is performed by Joe Flanigan, but his character had too many clichés and peculiarities; for example, he became a gifted shooter within half a day or so. Nevertheless, the movie is a must for Van Damme admirers and others, who may have ambiguous attitudes towards him, could see it with open eyes and mind - Van Damme is really performing, he is no numb kicker or so.	7
 Should have been called 'The Butcher'....	Just lately, Van Dammes movies have been getting a lot better than they should be. This could be partly thankful to JCVD, or he has started to listen to his fans and choosing better roles.I was surprised how well this movie was made, and how good he was in it.He plays a specialist who finds kidnapped children who are being sold for pleasure. When a job causes the death of two children, he starts having doubts about his career choice.Went he daughter of an MMA fighter is kidnapped, he reluctantly helps, and then Van Damme is back in action.The only thing i found silly in this film, was the visions he was having about the two dead girls. This really didn't need to be in this and detracted away from the feeling of the movie. We knew he was suffering, so we didn't need to see this.Fighting is minimal, apart from the opening act, but it's quite good to see a sadistic Van damme in this. He tortures, maims, and kills without remorse and it gives the film a real gritty feel to it.So all in all, if you are a Van Damme film, you will be happy as this proves that his career is in full swing.	7
 Samson Gaul to the Rescue!!!	"""Assassination Games"" director Ernie Barbarash and scenarists Chad and Evan Law have concocted an above-average suspense thriller ""6 Bullets"" for martial arts action Jean Claude Van Damme that is a notch above his usual formulaic fodder. Actually, there are consequences for our protagonist in all the super-charged, high-octane antics in this swiftly-paced abduction opus set in Eastern Europe's Moldova. Jean-Claude is cast as a butcher who rescues kidnapped children when he isn't carving up meat. ""6 Bullets"" opens with a slam-bang sequence where our hero saves a youngster from a gang of ruthless dastards who have nothing but evil in store for the young lad. Jean-Claude decimates the opposition, slashing and shooting his way through numerous adversaries as he scrambles out of their huge house with the child in tow. He has set everything up for his escape and triggers a series of explosions that took out the villains and distract those that remain as he makes his escape. Later, a grim-faced Police Inspector Kvitko (Steve Nicolson of ""Johnny English"") informs him that during his explosive exodus, ex-French Foreign Legionnaire Samson Gaul (Jean-Claude Van Dame of ""Maximum Risk"") was responsible for some unfortunate collateral damage. The explosions that blew up the house also killed two young girls who had been kidnapped, too. Now, our remorseful protagonist finds himself haunted at every turn by the specters of those two semi-incinerated girls. He decides to get out the Good Samaritan business of finding missing people because of the collateral damage.Naturally, no sooner than Gaul has retired, husband Andrew Fayden (Joe Flanigan of ""The Other Sister"") and wife Monica (Anna-Louise Plowman of ""The Foreigner"") visiting Moldova with their daughter find themselves up to their collective necks in trouble when the daughter Becky Fayden (Charlotte Beaumont of ""Jupiter Ascending"") disappears. When the Faydens contact Samson, he refuses to help them because he is still recovering from the previous incident involving the incinerated girls. Eventually, Samson decides to help them, and he creates a lot of violence and confusion for the slimy villains. Unfortunately, Samson pits the bad guys against themselves, and they kill the two individuals holding her and fake Becky's death. A police doctor confirms the remains found in the house where a man and woman were shot to death match Becky's DNA. Inspector Kvitko convinces the Faydens that their daughter died needlessly because of Samson's reckless bravado, and the Faydens turn on him. Our hero returns to his butcher shop upset with not only himself but also his son, Selwyn Gaul (Kristopher Van Varenberg of ""Universal Soldier: Regeneration""), for getting back into this bloodthirsty business. Samson begins drinking again and he hallucinates and sees the two girls. About that time, the villains enter his butcher shop and torture him. At this point, feeling as bad as he does about what he has done to Becky, Samson is prepared to die to assuage his guilt. He realizes during the beating that he takes at the hands of the villains that Becky may not be dead. In the photographs of Becky, she has a bracelet on one wrist instead of another. Samson abducts the police surgeon Dr. Sui (Ioan Ionescu of ""Born to Raise Hell"") and Monica threatens to rips his genitals off if he doesn't tell them the truth about her daughter. Sui confesses to them that he lied about Becky.No great shakes in the greater scheme of things, the ""Taken"" like ""6 Bullets"" still qualifies as an entertaining and exciting JCVD actioneer. Some of the thespings (not JCVD) leaves something to be desired, but tight direction, no-nonsense action add up to a stronger than usual straight-to-video release. The ending is particularly cool."	7
 Nothing of too high quality but definitely watchable.		6
 late Van Damme action		5
 Best of Jean-Claude Van Damme action-packed film in years!		10
 Solid action from a solid star		6
 An aged Van Damme has regained his eighties knockout power	The last Van Damage film I saw before viewing '6 Bullets' was 'Universal Soldier: the Return' circa 1999. While that JCVD effort was not so hot I viewed it out of nostalgia for the original Universal Soldier. Going into '6 Bullets' I was somewhat leery of the aging action star's ability to entertain on a level comparable to his most popular films of the eighties and early nineties; all of which I saw in the theater and thoroughly enjoyed for the over-the-top bullet and brawn ballets they were.I read a few reviews and based on the largely positive reception of '6 Bullets' decided to take the risk. I am glad that I did. What struck me first upon hitting the play button was the older, time weathered and more serious appearance of JCVD. His haggard, world weary visage reminded me of Tim Thomerson at his prime. From the opening scene, tension begins to build as the above mentioned aged Van Damme sporting prescription glasses and very plain dress navigates the lavish halls of a modern brothel in some eastern European hellhole. There is no nervous bounce to Van Damme's stride, nor sign of humor in his expression as was often the case in many of his earlier films. Here the muscles from Brussels is all world weary, haggard intent as he follows a thug to a meeting with some scumbag who sells children by the hour.I was not expecting great or spectacularly new hand to hand choreography in the fight scenes and boy was I wrong. The very first action sequence is intensely fast and vicious and, I found it quite refreshing. Whoever advised the director for knife combat techniques knew their stuff and it shows. There were no ballet like leaping spinning kicks, nor molasses slow sparring. It was literally quick and to the point.Impressed, I sat back and got comfortable in anticipation of the rest of the film. Overall, '6 Bullets' did not fail to entertain throughout. Van Damme is a former soldier for hire who in his retirement runs a second generation butcher shop, drinks like a sponge and sometimes accepts cash to locate and retrieve missing children. All is not perfect with our aging action star, however. While his character is an honest man of good intent, he is also heavy handed and his mission planning skills flawed. He is an ex soldier who has done unspeakable things for a payday and the guilt he experiences for his past mistakes effects his current endeavors through haunting memories of the victims he has unwittingly gotten killed. He is not quite completely on his game, but still he tries to do the best he can in situations far less than perfect.When the daughter of an American celebrity is kidnapped, Van Damme refuses the parents' impassioned plea to find their child and deal with the scum who abducted her. He retreats into the bottle and the film would have ended their had something not arisen to make finding the young girl and ensuring her safety, personal. The rest of the film entails much kicking, punching and shooting in the vein of most other JCVD action flicks, but something about the violence in '6 Bullets' came off to me as more seasoned, less shallow than any other Van Damme effort of the past. Van Damme's Samson Gaul is perhaps the most complex character he's yet played, and that alone adds much substance to the overall effect of the movie. To sum up, at times the unfolding events defy the rational - this is an action film - but overall the plot worked for me, and the acting of that aged, world weary Van Damme fit the film just right. If you're a long time JCVD fan, '6 Bullets' is a must see as he has definitely returned to the screen in good form, even if that screen is just on your television or computer monitor. For those who haven't a history with the actor's past films I would recommend giving it a shot. You just might become his next fan.6/10 for effective action sequences and a competent enough plot, plus two for a Van Damme who looks to have come full circle as an actor.	8
 Good action, not a bad movie	Van Damme is an ex-mercenary. He is an expert in finding missing children. One of his successful operation results in death of 4 including 2 children. Though he succeeded to rescue one child his mission results some collateral damage. However, he stopped doing this job.After six months a couple came to him for finding out their child. Van Damme again get back in action.So, this is the story in short. The movie is well acted, full of action, story is good. If you like action thrillers this movie is for you. The movie has got some interesting twist too. Sex trafficking, child abuse, government high official involvement in such offenses are presented in this movie.One thing I didn't like: directly mentioning the name of the country. It could have been avoided.	7
 Awful Background Music Which Ruined It	Why do cheap movies all ways have that same style of music in the background? I also hate it when the music doesn't stop, constantly playing throughout the film!There is no need for this, it's very irritating.I had to stop the film 30 minutes in because of this. I can't really comment on the film because I didn't see it till the end. But what I did see is that the fight scenes was chopped so many times. Surely JCVD can do a 10 second fight scene in the same camera shot? If not then he needs to stop making action movies. I hope the next film he does is better as I have always been a JCVD fan :)	3
 Van Damme is just awesome!	"Van Damme is absolutely brilliant in this film. Yes it was in the vein of, ""Taken"" but 6 Bullets stands on it's own merits. I gave this a 10 out of 10, because I just didn't expect it to be as good as it was. I watch every Van Damme film and normally I enjoy them, but this one is one of his better films since JCVD. All of the actors were very, very good and the story was good as well. Human Trafficking is one of the sickest things on this planet and it's movies like this that inform people and hopefully, more people will do something in real life to stop this stuff. Thanks Van Damme for bringing your ""A"" game. It's good to know that even though you're over 50, you've still got it dude! Great job!"	10
 Gritty, tough, and one of JCVD's all-time best!	"Wow! This movie kicks some major backside from start to finish! There are always going to be mental midgets who will dismiss straight to DVD films as ""lesser"" works not to be taken seriously since they didn't have a theatrical run, and dipsticks who will say ""Van Damme looks like hell"" since he no longer resembles the clean cut ""Muscle & Fitness"" flex model or the mullet haired winking ladies' man that he was in some of his earlier films, but those boxed in clowns are missing out on some great action flicks. Unlike Steven Seagal, Van Damme is still hungry as an artist and his enthusiasm for making better, more serious films is extremely commendable. I'll give a brief synopsis of 6 BULLETS followed by why it's a major success for both JCVD and a must-see for his fans. Van Damme plays ""The Butcher"", a mercenary for hire. His current mission is to find and rescue a young boy who's been kidnapped and held captive in an underage sex slavery operation in Moldova, an Eastern European nation not unknown for major underground criminal activities. The butcher analyzes, infiltrates, annihilates, and obliterates everyone he meets who is involved in this industry with no mercy. Unfortunately, this particular rescue operation will come back to haunt him, forcing him into retirement, the bottle, and a bitter, empty shell of his former self. Shortly after these incidents, an American family of three checks into a nearby hotel. The father is a former MMA champion looking to make a comeback in a bout taking place in Moldova. That fight never occurs as he and his wife tragically discover that their daughter has gone missing, believed to have been abducted from the hotel. They look everywhere for her and are told by good authority to look for the butcher to help. Despite their pleas, the butcher refuses to help, his personal demons having turned him into a prisoner of inaction. The father tries to find the girl by himself and gets into one hell of a fight at a seedy strip club. The butcher finds himself unable to sit idly by and he eventually consents to help the couple locate their daughter. What follows are some very realistic and brutal scenes that would fit perfectly into any higher budget theatrical suspense release. There are vicious crime bosses, hard headed police chiefs, sexy strippers, frightened underage captive girls, a tough as nails mother willing to do anything to get her little girl back, clever surveillance methods and trickery, savage knife fights, knock down use anything bar style brawls, pulse pounding gun play, motorcycles, car explosions, gross out gore, and massive firepower. Van Damme is no longer just a guy who flexes his muscles and shouts ""come on"" after getting knocked down and then becoming a HeMan for no reason. He's a real human being, filled with emotional flaws and complexity...not to mention an on screen fighting presence and skills that induce yelps of awe from excited viewers. 6 BULLETS' villains are heinous, the heroic couple is wholeheartedly worth rooting for, and the daughter portrays the innocence of these victims with brilliant courage. This movie looks like (and is) a high quality action/suspense film that can be thoroughly enjoyed by those who don't even like martial arts and/or who have a negative preconceived notion of Van Damme. This is a film on a par with TAKEN, SKYFALL, and EXPENDABLES 2 in terms of sheer audience involvement/enjoyment if not in terms of gloss and money (heck, I enjoyed 6 BULLETS better than SKYFALL in totality and it's much more serious in tone than EXPENDABLES 2 was which may make it a better night's pick depending on viewer mood). Straight to DVD is no longer a term that applies to films that weren't good enough for theaters. It is a genre unto itself, made for expressly such a purpose, and is brimming with more than just a few ""better than theater title"" gems out there just waiting to be seen. Most of these movies simply would not rake in huge profits at the theater which is why the direct to DVD market exists...and that's not a bad thing. The majority of people nowadays only pay big bucks in mass for things like the TWILIGHT, HARRY POTTER, and TRANSFORMERS series and all-star cast films, and the same number of folks will simply never show up to the movie theater to watch a 50 plus year old Van Damme solo vehicle no matter the film. Martial arts film stars' big box office lives are simply short run. Heck, many people just don't go for that kind of movie. Still, that very fact allows these kinds of movies to survive and thrive (many times even more so...except for Steven Seagal who's straight to DVD fare has been wildly uneven which has been extremely frustrating for his fans) via straight to DVD which is a very good thing since Hollywood has a way of stinking up good things fast. I honestly think that 6 BULLETS is every bit as good if not better than many current big budget blockbuster action flicks. If you liked JCVD in EXPENDABLES 2, you owe it to yourself to check this out. There's less star power, less tongue in cheek camaraderie, less things blowing up on a grand scale, but much more emotional involvement and much more Van Damme. I loved it! (PS: This has nothing to do with Van Damme, but THE TOURNAMENT co-starring Kelly Hu is another rip-roaring straight to DVD martial arts/action/suspense film that is absolutely fantastic and definitely worth a rental.)"	9
 Not the worst movie ever........ but so close.	The acting is horrid. Even the extras look staged and uncomfortable. There is no character development anywhere. The acting is horrid. The hand to hand combat is awesome. Van Damme kicks serious tush in his action scenes, awful in close-ups. Facelift much Jean-Claude? By the way, the acting is horrid. He is also awful at keeping his butcher shop clean..... Really? A rag wipe down?? No one on the movie set ever hear of salmonella?!? Hello!! Also, the acting, is horrid. Joe Flanigan is miss-cast as a MMA champ. Even with the scars and tribal tattoos. Nope, don't buy it. Although he holds his own in a bar fight. Once again cool hand to hand combat. The acting is absolutely horrid. That's all this movie boils down to.... Action. Entertaining, yes, but oh so flawed. Watch it again? OK but I need a stiff drink first. Did I mention the acting is horrid.	3
 Actually pretty good		7
 Another Good Van Damme movie		7
 You;re going to tell me or I'll rip your f*cking balls off right now.	Two Jean-Claude Van Damme movies in the same night might be a bit much, but it's actually one I have not seen.Living in Florida, I am well aware of the sex trade, and it is disturbing, to say the least. Seeing Van Damme take it to those involved was exciting.He plays a troubled man, much as Denzel Washington did in the great Man on Fire. He is in the great form we saw in Hard Target and Legionairre.He wins the day, of course. I particularly like the way he finished the job.Anna-Louise Plowman was one bad momma.	6
 We really enjoyed 6 Bullets and we think you will too.	"Andrew Fayden (Flanigan) is an MMA fighter who wants to crack the European fight market before he stages his big comeback. So he does the natural thing anyone might do in that case, he brings his wife Monica (Plowman) and his young daughter Becky (Beaumont) to that hub of sporting and MMA activity, Moldova. While in Moldova, Becky is ""Taken"" and the Faydens are distraught - so they reach out to the one and only Samson Gaul (JCVD), an ex-mercenary, ex-Legionnaire who is the best and whose methods may be unorthodox but he gets results. Gaul has been down and out of late, after some complications arose on his last job. He went back to the family business of being a butcher and began drinking heavily. Inspired to do the right thing, he puts his skills to work helping the Fayden family. But will they find Becky in time? Find out today! We're very happy and proud to report that 6 Bullets is actually a good movie. Without any other knowledge, at first glance you might think a DTV effort from 2012 shot in Romania with Van Damme, from the director of Assassination Games (2011) called 6 Bullets, might be another piece of modern-day DTV crud. And under normal circumstances you might be forgiven for thinking this, but, somehow, 6 Bullets bucks all the trends and is indeed a solidly-made, worthwhile, entertaining, serious-minded affair that is well worth your time. Sure, it's a Taken (2008) knockoff, and a pretty unabashed one, but so what? What the world needs now are tough, take-no-prisoners Taken knockoffs. Not love sweet love. The real crime here is that Taken 2 (2012) went to the theater while 6 Bullets had to settle for being direct to DVD. It should have been the other way around.Thank goodness other countries in this world still care about Van Damme. If the whole world were like America, which seems largely uncaring of his career, he would be out of a job. But luckily other markets still care, and Eastern Europe at least still seems to have not lost their taste for action movies. Yes, we do have to put up with some unnecessary CGI effects at times in 6 Bullets, but that seems to be the way of the world with these newer DTV movies, and in all honesty, at least this time around, it doesn't detract from the overall experience. This was our first run-in with Joe Flanigan, and we must say he was quite good as one of the awesomest dads ever. That was one of the cool things about 6 Bullets, the mom and the dad take up machine guns, hand-to-hand combat and other violent tactics to help save their daughter. Thankfully, the wife isn't a shrill harpy who whines the whole time. Quite the opposite, she gets into the fight with Flanigan and Van Damme and it was great to see that. We were happy to see that particular cliché go away (unlike the Prerequisite Torture, which was, well...prerequisite. Apparently.) We really enjoyed 6 Bullets and we think you will too. It's better than you probably think it is, so see it if you get the chance."	7
